"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
9621.05791193395 6100.34314123898 7220.15187235015 4383.14882532266 3725.1606558515 2826.92516290011 1248.32372586753 956.104132629882 640.128964679788 900.081616313897 465.454203287108 441.691064030226 270.938506439077 292.920193909785 212.551638298703 130.16161692559 84.3633365162851 109.734468528873 77.3708548879411 62.5872003312861
12688.9097777631 6863.4522409189 5842.95765986249 4835.53758212434 3679.49731432883 1548.50221031535 1828.12857946482 1777.9559978941 647.64472048657 727.866766886929 618.8648300879 298.783878827829 223.491329456124 279.274883514879 183.982576495365 128.179982405121 140.412132771798 107.456070488677 91.2343016245268 77.5408297862464
8784.20321014279 8692.06039617626 6439.5045753935 5962.07303346733 2279.77205216446 2231.47719121157 1447.61916157195 727.603074594066 818.147307682334 603.415395245063 705.155442809879 259.710283478017 255.996038469775 283.847359464346 134.108694305949 165.32726974907 140.452272862802 95.2152380057373 87.8604561531146 75.9803324821993
12162.0645844651 6871.0854014183 7325.47116624687 3990.41353114455 4579.32726727315 2293.46228592843 1242.46062726276 1383.18343007907 864.899723499693 723.622860334539 358.793474118891 372.142126073273 295.293545771337 240.297299220225 234.653380186384 160.50500827126 107.3853325805 105.52305794705 71.1975641788749 70.3764106507546
9575.98227669506 7377.39221355064 5804.60762820433 3235.72041715507 1345.25562337726 1808.90913374685 1345.17548694221 1103.63035933931 810.577761122503 731.686224936127 369.276516112328 334.146779173791 248.393762526478 248.978140643281 157.085860891931 157.461099487469 109.068018654898 117.487850370941 86.1946502753894 76.7239294847289
13498.1959457175 4747.33714724011 6263.21556414821 5049.56950495916 2223.50444506823 1740.05959875599 1227.04726633387 1373.77262231221 650.076688901065 1031.81444379783 283.863104624703 298.239688122231 341.610014423028 215.126717129556 216.667397143484 146.264281469139 128.082576579074 77.2740070523162 67.8399174523204 76.1078526951874
14560.5396127584 10040.54993751 7532.9795475958 4148.26421034339 3450.23857069681 3580.26534365835 1279.08761334478 1648.71695249431 968.512554806735 399.823755770061 481.598443255484 655.85736117223 391.807308886985 264.619587362601 209.78172814553 183.433252873395 96.4692334722376 100.255934956762 79.9371688673953 84.1692016066518
12941.1337859768 7880.34880775165 4989.07069397992 5302.63099804835 4713.0499275724 3741.13084609163 1230.88556627521 938.128786341789 770.618128825879 458.280630415958 376.318744899018 454.714663075608 295.85175209141 232.20510764391 210.961529264215 132.982861234696 102.360909240826 125.005961464597 67.6864307817481 71.7916887316918
9575.829908286 11067.6339680105 5176.63723528808 4800.56940712431 3273.82259505256 3156.658710154 1712.00984302157 1274.33526940199 667.976778004052 874.665847112713 523.956953634515 336.097559095739 258.687025834082 235.257875785629 180.029072884381 157.713585801385 116.609859045833 74.59742716111 105.195664960177 74.4042751963073
6833.86970541613 9357.1875056145 5084.16480872496 3595.22626587808 2199.5124290183 2640.98398612916 1666.86694556204 1184.94715399033 1103.0526880143 1336.49170197611 455.245046423173 355.035361449565 330.713017308399 289.746473564913 217.956529322595 140.048589694855 134.011808215366 96.9520292450915 78.2434937609489 60.4460787939118
13685.037599545 9892.17366104116 7490.85341968035 4020.23938582033 3908.47114067284 2560.20505771737 2105.20733208409 1656.29299533314 1541.36577922746 562.060724531062 349.734830493871 421.016371482617 207.11423460802 211.132210447066 199.184496885073 134.32058487524 122.385989763804 107.082544401938 89.9575965639527 79.2709530276948
8615.09580583864 13184.184000994 4652.48619354019 5107.72885549312 3114.50457292891 3763.57443097285 1455.79892697282 1365.98012307962 820.865899074227 534.927296991483 503.986280692542 424.676600141499 325.518415388834 191.852233287753 202.753497737641 133.366581560417 102.988697463044 110.58192467835 68.6252989277541 69.8450116404708
13708.1298163238 4366.3031370232 3549.52013538485 4120.63827659994 3012.11341682065 2148.99012995274 1689.12372924329 929.972020617279 544.559128685717 418.943615931258 539.626124651231 363.648939370513 387.407346885128 188.013414674589 203.506713423343 146.771422805767 88.6589941461601 85.636210912362 97.7599937017585 92.5262952659415
10441.0490171911 7027.09794964447 4522.35221566941 3929.24721631763 4607.3810543181 2024.7106655914 1384.11698585573 1080.06512519763 1034.7648359723 526.561960757034 472.732422080536 473.656522675532 389.357248778676 223.626112678507 181.208575285193 156.328265193659 123.074937646551 115.697530352219 81.7615437412791 96.5710153536181
11619.5505515529 6576.22627763941 3347.26547795096 6901.50610401223 2382.25644001707 2762.67354356615 2157.60552816864 833.821380668604 993.687459273409 712.13333200874 430.349336287593 280.545763407247 342.432593381773 224.492467184843 186.85659897866 118.249019576758 95.9981087552108 149.990520196911 120.09456744425 76.0894903666328
